Step,Description,Commands/Details
,,
1. Set Up Google Cloud Environment,,
1.1,Create a Google Cloud Project,Use [Google Cloud Console](https://console.cloud.google.com/) to create or select a project.
1.2,Enable GKE API,Navigate to `APIs & Services > Dashboard` and enable the Kubernetes Engine API.
1.3,Install Google Cloud SDK,Follow the [installation guide](https://cloud.google.com/sdk/docs/install). Authenticate: `gcloud init` and `gcloud auth login`. Set project: `gcloud config set project your-project-id`.
,,
2. Prepare Your Local Containerized Application,,
2.1,Dockerize Your Application,Ensure a `Dockerfile` exists for your application.
2.2,Build Docker Image,`docker build -t your-image-name .`
2.3,Push Docker Image to GCR,"Tag and push the image: `docker tag your-image-name gcr.io/your-project-id/your-image-name`, `docker push gcr.io/your-project-id/your-image-name`"
,,
3. Create a GKE Cluster,,
3.1,Create the Cluster,`gcloud container clusters create your-cluster-name --zone your-cluster-zone`
3.2,Get Cluster Credentials,`gcloud container clusters get-credentials your-cluster-name --zone your-cluster-zone`
,,
4. Deploy Your Application to GKE,,
4.1,Create Deployment and Service Files,Create `deployment.yaml` and `service.yaml`.
4.2,Apply Configuration,"`kubectl apply -f deployment.yaml`, `kubectl apply -f service.yaml`"
,,
5. Migrate Local Database to Cloud SQL,,
5.1,Set Up Cloud SQL,Create a Cloud SQL instance in [Cloud SQL instances](https://console.cloud.google.com/sql/instances). Configure MySQL settings.
5.2,Export Local Database,`mysqldump -u root -p your_local_db_name > your_local_db_name.sql`
5.3,Upload SQL File to GCS,`gsutil cp your_local_db_name.sql gs://your-bucket-name/`
5.4,Import Database to Cloud SQL,`gcloud sql import sql your-instance-name gs://your-bucket-name/your_local_db_name.sql --database=your_database_name`
5.5,Authorize Networks or Use Private IP,Authorize network under 'Connections' in Cloud SQL instance details or ensure same VPC for private IP.
,,
6. Update Application Configuration for Database Access,,
6.1,Update Database Connection Settings,Modify application environment variables to connect to Cloud SQL instance.
6.2,Optional: Use Cloud SQL Proxy,Deploy Cloud SQL Proxy as a sidecar container in your deployment.
